drugbank_id,partner_id,action
DB00023,BE0000537,inhibitor
DB00059,BE0000537,inhibitor
DB00070,BE0000530,inhibitor
DB00080,BE0000530,binder
DB00080,BE0000925,binder
DB00080,BE0000952,binder
DB00080,BE0000499,binder
DB00080,BE0000685,binder
DB00080,BE0009909,binder
DB00083,BE0000530,binder
DB00104,BE0000530,binder
DB00107,BE0000751,binder
DB00126,BE0000530,binder
DB00132,BE0001821,
DB00136,BE0001141,binder
DB00137,BE0000530,
DB00152,BE0000530,binder
DB00153,BE0001141,binder
DB00154,BE0001821,
DB00159,BE0000530,binder
DB00162,BE0000682,binder
DB00162,BE0000532,binder
DB00162,BE0000314,binder
DB00162,BE0000505,binder
DB00162,BE0000530,binder
DB00162,BE0000786,binder
DB00162,BE0000255,binder
DB00162,BE0000301,binder
DB00163,BE0000643,binder
DB00163,BE0000256,binder
DB00163,BE0000339,binder
DB00163,BE0009656,binder
DB00165,BE0000530,binder
DB00169,BE0001141,
DB00180,BE0000209,binder
DB00200,BE0000362,substrate
DB00214,BE0000530,substrate
DB00220,BE0000530,
DB00227,BE0000530,substrate
DB00228,BE0000530,binder
DB00237,BE0000530,binder
DB00238,BE0000530,
DB00240,BE0000209,binder
DB00243,BE0000925,binder
DB00245,BE0000530,binder
DB00246,BE0000530,
DB00246,BE0000925,
DB00252,BE0000530,
DB00252,BE0000537,substrate
DB00253,BE0000209,binder
DB00255,BE0000337,
DB00264,BE0000530,binder
DB00266,BE0000530,
DB00273,BE0000530,binder
DB00274,BE0000530,
DB00278,BE0000530,binder
DB00278,BE0004879,binder
DB00279,BE0000337,
DB00279,BE0000537,substrate
DB00279,BE0000530,
DB00280,BE0000925,other/unknown
DB00286,BE0000537,inducer
DB00286,BE0000685,binder
DB00286,BE0000530,binder
DB00289,BE0000530,binder
DB00289,BE0004879,binder
DB00289,BE0000710,binder
DB00292,BE0001057,inhibitor
DB00294,BE0000530,binder
DB00294,BE0000685,binder
DB00295,BE0000530,binder
DB00304,BE0000530,binder
DB00304,BE0000685,binder
DB00310,BE0000530,
DB00313,BE0000530,
DB00316,BE0000530,binder
DB00317,BE0000530,substrate
DB00317,BE0000925,substrate
DB00321,BE0000530,binder
DB00321,BE0000925,binder
DB00322,BE0000537,inducer
DB00324,BE0000209,
DB00327,BE0000530,binder
DB00328,BE0000530,
DB00332,BE0000530,binder
DB00332,BE0004879,binder
DB00333,BE0000925,
DB00333,BE0000530,
DB00334,BE0000530,binder
DB00334,BE0000925,binder
DB00335,BE0000530,substrate
DB00343,BE0000530,binder
DB00343,BE0000925,binder
DB00346,BE0000530,binder
DB00346,BE0000925,binder
DB00376,BE0000530,binder
DB00391,BE0000530,binder
DB00394,BE0000209,binder
DB00404,BE0000530,binder
DB00404,BE0004879,binder
DB00409,BE0004879,binder
DB00412,BE0000530,substrate
DB00414,BE0000530,
DB00415,BE0000530,other/unknown
DB00421,BE0000530,
DB00421,BE0004879,
DB00430,BE0000530,
DB00432,BE0000530,binder
DB00434,BE0000530,binder
DB00438,BE0000530,binder
DB00443,BE0000530,
DB00443,BE0000209,
DB00451,BE0000337,
DB00451,BE0000537,substrate
DB00451,BE0000530,
DB00454,BE0000530,binder
DB00454,BE0000925,binder
DB00456,BE0000530,binder
DB00457,BE0000925,substrate
DB00458,BE0000925,
DB00458,BE0000530,
DB00459,BE0000530,
DB00461,BE0000530,
DB00472,BE0000530,substrate
DB00472,BE0000925,substrate
DB00476,BE0000530,ligand
DB00476,BE0004879,ligand
DB00477,BE0000530,
DB00481,BE0000530,binder
DB00481,BE0000925,binder
DB00490,BE0000530,binder
DB00490,BE0000925,binder
DB00495,BE0000530,
DB00497,BE0000530,binder
DB00497,BE0004879,binder
DB00500,BE0000530,
DB00501,BE0000530,substrate
DB00503,BE0000530,substrate
DB00503,BE0000925,substrate
DB00512,BE0000530,substrate
DB00512,BE0004879,substrate
DB00512,BE0009144,substrate
DB00515,BE0000530,
DB00523,BE0000782,agonist
DB00523,BE0000508,agonist
DB00530,BE0000530,substrate
DB00530,BE0000925,substrate
DB00532,BE0000537,substrate
DB00537,BE0000530,binder
DB00540,BE0000530,binder
DB00540,BE0000925,binder
DB00543,BE0000925,
DB00544,BE0000530,
DB00544,BE0000537,inducer
DB00554,BE0000530,
DB00555,BE0000530,substrate
DB00557,BE0000530,substrate
DB00563,BE0000530,binder
DB00567,BE0000530,other/unknown
DB00571,BE0000925,
DB00571,BE0000530,
DB00573,BE0000530,
DB00575,BE0000530,binder
DB00576,BE0000530,
DB00584,BE0000530,binder
DB00586,BE0000337,
DB00586,BE0000530,
DB00588,BE0000209,
DB00588,BE0001004,inhibitor
DB00591,BE0000209,binder
DB00595,BE0000530,binder
DB00596,BE0000209,binder
DB00598,BE0000530,substrate
DB00598,BE0004879,substrate
DB00601,BE0000530,binder
DB00603,BE0000530,binder
DB00605,BE0000530,
DB00607,BE0000530,
DB00608,BE0000530,binder
DB00608,BE0004879,binder
DB00619,BE0000530,substrate
DB00619,BE0000925,substrate
DB00620,BE0000209,binder
DB00620,BE0000530,binder
DB00624,BE0000530,binder
DB00624,BE0000685,binder
DB00625,BE0000530,
DB00627,BE0000537,inhibitor
DB00635,BE0000530,substrate
DB00635,BE0000209,binder
DB00636,BE0000537,inducer
DB00640,BE0000530,binder
DB00648,BE0000685,
DB00648,BE0000209,
DB00648,BE0000537,inducer
DB00649,BE0000530,
DB00655,BE0000530,
DB00661,BE0000530,substrate
DB00661,BE0000925,substrate
DB00663,BE0000209,binder
DB00675,BE0000530,substrate
DB00675,BE0000537,inducer
DB00677,BE0000530,
DB00678,BE0000530,substrate
DB00682,BE0000530,
DB00682,BE0000925,
DB00687,BE0000530,substrate
DB00687,BE0000209,substrate
DB00695,BE0000530,binder
DB00695,BE0000537,binder
DB00706,BE0000925,
DB00709,BE0000530,
DB00712,BE0000530,other/unknown
DB00714,BE0000530,binder
DB00717,BE0000530,substrate
DB00717,BE0000685,substrate
DB00731,BE0000530,
DB00731,BE0000925,
DB00734,BE0000530,binder
DB00734,BE0000925,binder
DB00737,BE0000530,binder
DB00741,BE0000685,binder
DB00741,BE0000209,binder
DB00743,BE0000530,binder
DB00744,BE0000530,
DB00749,BE0000530,
DB00753,BE0000530,
DB00754,BE0000537,substrate
DB00755,BE0000530,
DB00759,BE0000530,
DB00762,BE0000530,substrate
DB00768,BE0000530,binder
DB00774,BE0000530,binder
DB00776,BE0000530,substrate
DB00783,BE0000685,binder
DB00783,BE0000530,
DB00783,BE0003591,binder
DB00784,BE0000530,
DB00787,BE0000530,binder
DB00788,BE0000530,
DB00802,BE0000925,
DB00802,BE0000530,
DB00808,BE0004879,binder
DB00808,BE0000530,binder
DB00813,BE0000530,binder
DB00813,BE0004879,binder
DB00814,BE0000530,
DB00815,BE0000530,binder
DB00818,BE0000530,
DB00829,BE0000530,
DB00842,BE0000530,binder
DB00845,BE0000530,binder
DB00846,BE0000209,binder
DB00847,BE0000530,binder
DB00852,BE0000530,binder
DB00853,BE0000530,binder
DB00853,BE0000925,binder
DB00857,BE0000530,binder
DB00857,BE0004879,binder
DB00858,BE0000685,
DB00860,BE0000209,binder
DB00860,BE0000530,binder
DB00861,BE0000337,
DB00861,BE0000530,
DB00864,BE0000530,substrate
DB00864,BE0000925,substrate
DB00870,BE0000530,binder
DB00877,BE0000530,binder
DB00877,BE0000925,binder
DB00877,BE0010065,binder
DB00878,BE0000530,substrate
DB00879,BE0000530,binder
DB00881,BE0000530,binder
DB00893,BE0000510,substrate
DB00896,BE0000209,binder
DB00900,BE0000530,
DB00903,BE0000530,
DB00907,BE0004879,binder
DB00908,BE0000925,binder
DB00908,BE0000530,binder
DB00912,BE0000530,
DB00924,BE0000530,substrate
DB00926,BE0000508,
DB00931,BE0000530,
DB00934,BE0000925,
DB00936,BE0000530,other/unknown
DB00938,BE0000530,binder
DB00938,BE0004879,binder
DB00939,BE0000537,substrate
DB00943,BE0000530,
DB00946,BE0000530,
DB00946,BE0000925,
DB00950,BE0000530,substrate
DB00950,BE0004879,substrate
DB00951,BE0000530,
DB00957,BE0000530,binder
DB00957,BE0000685,binder
DB00959,BE0000530,binder
DB00960,BE0004879,binder
DB00968,BE0000530,binder
DB00977,BE0000530,binder
DB00977,BE0000685,binder
DB00982,BE0000530,binder
DB00983,BE0000530,substrate
DB00986,BE0000530,binder
DB00986,BE0004879,binder
DB00993,BE0000530,binder
DB00995,BE0000530,
DB00997,BE0000530,
DB00999,BE0000530,binder
DB01006,BE0000530,binder
DB01009,BE0000530,
DB01013,BE0000209,binder
DB01013,BE0000530,binder
DB01015,BE0000530,substrate
DB01016,BE0000530,binder
DB01026,BE0000530,ligand
DB01026,BE0000685,ligand
DB01029,BE0000530,binder
DB01029,BE0004879,binder
DB01032,BE0000530,
DB01039,BE0000530,binder
DB01044,BE0000530,other/unknown
DB01045,BE0000530,ligand
DB01045,BE0004879,ligand
DB01047,BE0000209,binder
DB01050,BE0000530,binder
DB01053,BE0000530,binder
DB01056,BE0000530,other/unknown
DB01057,BE0000530,
DB01060,BE0000530,binder
DB01062,BE0000925,binder
DB01062,BE0000530,binder
DB01064,BE0000530,binder
DB01067,BE0000530,binder
DB01068,BE0000530,
DB01069,BE0000530,binder
DB01072,BE0000530,binder
DB01072,BE0004879,binder
DB01076,BE0000530,binder
DB01083,BE0000530,binder
DB01086,BE0000530,binder
DB01086,BE0004879,binder
DB01093,BE0000337,
DB01098,BE0000530,substrate
DB01104,BE0000530,binder
DB01109,BE0000537,substrate
DB01110,BE0000530,binder
DB01115,BE0000530,binder
DB01115,BE0004879,binder
DB01118,BE0000530,binder
DB01120,BE0000530,
DB01124,BE0000530,
DB01126,BE0000530,binder
DB01126,BE0000925,binder
DB01132,BE0000530,substrate
DB01133,BE0000530,binder
DB01136,BE0000530,binder
DB01137,BE0000530,substrate
DB01138,BE0003591,
DB01142,BE0000530,binder
DB01142,BE0000925,binder
DB01147,BE0000530,binder
DB01151,BE0000925,
DB01156,BE0000925,antagonist
DB01159,BE0000530,
DB01169,BE0000530,substrate
DB01183,BE0000530,binder
DB01185,BE0000685,antagonist
DB01189,BE0000530,binder
DB01190,BE0000925,substrate
DB01195,BE0004879,binder
DB01195,BE0000530,binder
DB01197,BE0000530,other/unknown
DB01203,BE0004879,binder
DB01212,BE0000530,other/unknown
DB01219,BE0000537,substrate
DB01222,BE0000209,binder
DB01222,BE0000530,binder
DB01232,BE0000925,
DB01232,BE0000530,
DB01233,BE0000925,binder
DB01234,BE0000530,binder
DB01235,BE0000530,binder
DB01236,BE0000530,
DB01238,BE0000530,binder
DB01241,BE0000530,binder
DB01242,BE0000530,substrate
DB01264,BE0000530,substrate
DB01264,BE0000925,substrate
DB01275,BE0000530,binder
DB01276,BE0000530,
DB01277,BE0000970,carrier
DB01277,BE0009058,carrier
DB01277,BE0009658,carrier
DB01277,BE0009659,carrier
DB01277,BE0009660,carrier
DB01277,BE0009661,carrier
DB01277,BE0009662,carrier
DB01294,BE0000530,binder
DB01294,BE0000510,
DB01307,BE0000530,binder
DB01320,BE0000530,other/unknown
DB01320,BE0000537,substrate
DB01324,BE0000530,binder
DB01327,BE0000530,other/unknown
DB01328,BE0000530,other/unknown
DB01329,BE0000530,other/unknown
DB01330,BE0000530,
DB01359,BE0000925,other/unknown
DB01364,BE0000530,binder
DB01370,BE0000530,
DB01380,BE0000209,binder
